codigo,materia,creditos,correlativas,categoria,nivel
88.14,Evaluación de proyectos,4,88.09-89.09-94.03,Materias Obligatorias,9
91.16,Legislación y Ejercicio Profesional de la Ingeniería Civil,6,88.14-91.02,Materias Obligatorias,9
91.02,Gerenciamiento y Organización de Obras Civiles,4,88.10-89.09-94.03,Materias Obligatorias,9
94.02,Arquitectura y Planificación Urbana,6,88.09-89.10-94.05,Materias Obligatorias,9
97.03,Higiene y Seguridad en Obras Civiles,3,88.10-89.09-94.03,Materias Obligatorias,9
89.12,Gestión Ambiental en Ingeniería Civil,3,88.10-89.09-94.03,Materias Obligatorias,9
81.06,Análisis Matemático III B,6,81.01-81.02,Materias Electivas,10
84.08,Estabilidad IV,8,84.06,Materias Electivas,10
84.09,Método de los Elementos Finitos,4,84.06,Materias Electivas,10
84.10,Análisis Experimental de Tensiones,2,84.06,Materias Electivas,10
84.12,Dinámica de las estructuras,4,95.10-84.03,Materias Electivas,10
84.13,Dinámica de las estructuras II,3,95.10-84.03,Materias Electivas,10
84.14,Análisis sísmico,4,84.06-94.01,Materias Electivas,11
85.35,Electrotecnia General C,4,81.02-84.02,Materias Electivas,10
87.02,Termodinámica I A,8,82.02-81.02,Materias Electivas,10
88.01,Construcción de carreteras,6,88.09-84.07-94.01,Materias Electivas,11
88.02,Diseño y operación de caminos,6,88.09-84.07-94.01,Materias Electivas,11
88.03,Puertos y Vías Navegables B,2,88.09-84.07-94.01,Materias Electivas,11
88.04,Ferrocarriles B,4,88.09-84.07-94.01,Materias Electivas,11
88.05,Aeropuertos B,4,88.09-84.07-94.01,Materias Electivas,11
88.06,Planeamiento del Transporte,6,88.09,Materias Electivas,10
88.07,Tránsito,4,88.10,Materias Electivas,12
88.08,Ingeniería Territorial,4,88.09,Materias Electivas,10
89.03,Centrales Hidráulicas,6,89.10,Materias Electivas,12
89.04,Modelos Hidráulicos,4,89.10,Materias Electivas,12
89.06,Planificación de Recursos Hidráulicos,4,89.10,Materias Electivas,12
89.07,Construcciones Hidráulicas,4,89.10,Materias Electivas,12
89.08,Gestión Ambiental de los Recursos Hídricos,4,89.10,Materias Electivas,12
89.13,Hidráulica Fluvial,4,84.07-89.09,Materias Electivas,11
89.14,Hidráulica Marítima,4,84.07-89.09,Materias Electivas,11
89.15,Laboratorio de Hidráulica,4,89.10,Materias Electivas,12
89.16,Ingeniería Sanitaria II,4,89.11,Materias Electivas,12
94.06,Presas,6,89.10,Materias Electivas,12
94.07,Maquinarias de la Construcción,4,94.03,Materias Electivas,10
94.08,Urbanismo,6,94.02,Materias Electivas,12
94.11,Estructuras Metálicas II,6,94.10,Materias Electivas,12
94.13,Patología de la Construcción,4,94.03-94.04-94.10,Materias Electivas,12
94.14,Estructuras de Madera,4,84.06-84.04-94.03,Materias Electivas,10
94.15,Sistemas Constructivos,4,91.09-94.01,Materias Electivas,11
94.16,Sistemas Estructurales,6,94.01-94.09-94.10,Materias Electivas,12
94.17,Diseño Estructural,6,84.07-94.01,Materias Electivas,11
94.18,Inspección y Ejecución de Estructuras de Hormigón,6,94.01,Materias Electivas,11
94.19,Materiales no tradicionales en la construcción,4,84.06-94.12,Materias Electivas,12
94.20,Instalaciones en Obras Civiles II,4,94.05,Materias Electivas,12
95.04,Análisis Numérico I,6,95.10,Materias Electivas,10
